Role,Age,Birth Country,Zip,Lat,Long,Departure Time,"Distance from Nueva (37.56, -122.38)"
Parent or Guardian of Nueva student,51,China,94087,37.35,-122.04,7:30:00 AM,40.13264128
Parent or Guardian of Nueva student,50,Israel,94301,37.44,-122.15,,25.7488597
Parent or Guardian of Nueva student,,China,94010,37.57,-122.38,8:05:00 AM,1.321225189
Parent or Guardian of Nueva student,50,United States,94066,37.63,-122.43,7:35:00 AM,8.354550916
Parent or Guardian of Nueva student,40,United States,,#N/A,#N/A,6:00:00 AM,#N/A
Tutor,63,United States,94404,37.56,-122.27,10:30:00 AM,11.1065026
Parent or Guardian of Nueva student,,United States,94301,37.44,-122.15,,25.7488597
Parent or Guardian of Nueva student,48,United States,94402,37.54,-122.33,7:45:00 AM,5.00212205
Nueva Teacher,39,United States,94402,37.54,-122.33,7:30:00 AM,5.00212205
Parent or Guardian of Nueva student,47,United States,94010,37.57,-122.38,8:05:00 AM,1.321225189
Parent or Guardian of Nueva student,41,United Kingdom,94010,37.57,-122.38,8:00:00 AM,1.321225189
Nueva Teacher,,United States,94611,37.83,-122.22,6:45:00 AM,31.75390497
Parent or Guardian of Nueva student,52,China,,#N/A,#N/A,7:40:00 AM,#N/A
Parent or Guardian of Nueva student,44,United States,94010,37.57,-122.38,7:50:00 AM,1.321225189
Nueva Teacher,26,United States,94110,37.75,-122.42,7:00:00 AM,19.29509329
Nueva Teacher,23,United States,94403,37.54,-122.31,7:20:00 AM,7.803738591
Parent or Guardian of Nueva student,51,China,94404,37.56,-122.27,7:40:00 AM,11.1065026
Parent or Guardian of Nueva student,44,United States,94403,37.54,-122.31,7:45:00 AM,7.803738591
Parent or Guardian of Nueva student,42,United States,94403,37.54,-122.31,7:45:00 AM,7.803738591
Parent or Guardian of Nueva student,51,United States,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,53,Colombia,94062,37.43,-122.30,7:55:00 AM,15.7946144
Nueva Teacher,,Japan,94070,37.50,-122.27,7:00:00 AM,12.65701865
Parent or Guardian of Nueva student,60,United States,94402,37.54,-122.33,8:00:00 AM,5.00212205
Nueva Teacher,33,United States,94401,37.57,-122.32,7:00:00 AM,6.268813684
Parent or Guardian of Nueva student,53,China,,#N/A,#N/A,7:40:00 AM,#N/A
Nueva Teacher,29,United States,94002,37.51,-122.30,7:30:00 AM,9.331878482
Parent or Guardian of Nueva student,45,China,94024,37.35,-122.10,,35.0579145
Parent or Guardian of Nueva student,43,China,94025,37.45,-122.18,7:30:00 AM,22.52073642
Parent or Guardian of Nueva student,47,United States,94010,37.57,-122.38,7:45:00 AM,1.321225189
Nueva Teacher,62,Malaysia,94404,37.56,-122.27,7:25:00 AM,11.1065026
Parent or Guardian of Nueva student,43,Algeria,94403,37.54,-122.31,7:25:00 AM,7.803738591
Parent or Guardian of Nueva student,43,United States,94403,37.54,-122.31,7:40:00 AM,7.803738591
Parent or Guardian of Nueva student,50,United States,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,,,,#N/A,#N/A,7:00:00 AM,#N/A
Parent or Guardian of Nueva student,50,United States,94401,37.57,-122.32,7:45:00 AM,6.268813684
Parent or Guardian of Nueva student,52,United States,94022,37.36,-122.15,7:55:00 AM,31.16259225
Nueva Teacher,54,United States,94306,37.42,-122.13,7:15:00 AM,28.75053267
Parent or Guardian of Nueva student,,Thailand,94022,37.36,-122.15,7:30:00 AM,31.16259225
Parent or Guardian of Nueva student,57,United States,94070,37.50,-122.27,7:35:00 AM,12.65701865
Parent or Guardian of Nueva student,53,United States,,#N/A,#N/A,7:25:00 AM,#N/A
Nueva Teacher,51,United States,94063,37.49,-122.21,6:55:00 AM,18.43465999
Nueva Employee (not a teacher),56,United States,94102,37.78,-122.42,10:00:00 AM,22.29968466
Parent or Guardian of Nueva student,44,United States,94010,37.57,-122.38,7:50:00 AM,1.321225189
Parent or Guardian of Nueva student,48,United States,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,50,China,94010,37.57,-122.38,8:10:00 AM,1.321225189
Parent or Guardian of Nueva student,51,South Korea,94010,37.57,-122.38,8:10:00 AM,1.321225189
Parent or Guardian of Nueva student,48,China,94070,37.50,-122.27,7:15:00 AM,12.65701865
Parent or Guardian of Nueva student,45,China,94024,37.35,-122.10,7:40:00 AM,35.0579145
Parent or Guardian of Nueva student,51,United States,94010,37.57,-122.38,8:55:00 AM,1.321225189
Nueva Teacher,26,United States,94608,37.84,-122.29,6:45:00 AM,29.16723026
Parent or Guardian of Nueva student,42,United States,94010,37.57,-122.38,7:50:00 AM,1.321225189
Parent or Guardian of Nueva student,51,United States,,#N/A,#N/A,,#N/A
Nueva Teacher,24,United States,,#N/A,#N/A,8:30:00 AM,#N/A
Parent or Guardian of Nueva student,52,Ukraine,94062,37.43,-122.30,7:30:00 AM,15.7946144
Parent or Guardian of Nueva student,,,,#N/A,#N/A,7:00:00 AM,#N/A
